control,c_value,auroc,average_precision,paired_accuracy
position,10.0,0.6306024930747922,0.6238548146208741,0.7
current_step_tfidf,0.01,0.6707825484764542,0.6687290719735111,0.6578947368421053
shuffled_label_hidden,1.0,0.5848961218836566,0.580424338318444,0.5894736842105263
