metric,estimate,ci_low,ci_high
auroc,0.7689127423822715,0.7128026419421125,0.8203847978364336
average_precision,0.7408506099873439,0.6715500943040575,0.8155188131170293
paired_accuracy,0.7526315789473684,0.6759918191414497,0.8239212811411025
