control,auroc,average_precision,balanced_accuracy,precision,recall,specificity,step_f1,brier_score,log_loss,expected_calibration_error,error_accuracy,correct_accuracy,process_f1,first_error_exact,error_detection_rate,error_miss_rate,correct_false_alarm_rate,early_detection_rate,on_time_detection_rate,late_detection_rate,mean_signed_localization_error,mean_absolute_localization_error,error_within_0_accuracy,error_within_1_accuracy,error_within_2_accuracy,threshold
position,0.7302231174303299,0.6205362462156094,0.5748612874383291,0.6662515566625156,0.24530032095369098,0.9044222539229672,0.3585790884718499,0.21089814255744063,0.6109945091799346,0.05708267033129663,0.03009259259259259,0.2489451476793249,0.05369456403794322,0.10762331838565023,0.8449074074074074,0.1550925925925926,0.7510548523206751,0.009259259259259259,0.03009259259259259,0.8055555555555556,4.016438356164383,4.043835616438356,0.03009259259259259,0.11805555555555555,0.2569444444444444,0.7449999999999999
current-step TF-IDF,0.7328048258824591,0.6670900079943667,0.6230033599737324,0.6879668049792531,0.38010087116001834,0.8659058487874465,0.48966331955109277,0.20781338212607303,0.5994220641104568,0.0455137218651169,0.1875,0.3924050632911392,0.2537517053206003,0.2600896860986547,0.8217592592592593,0.17824074074074073,0.6075949367088608,0.19212962962962962,0.1875,0.44212962962962965,1.0450704225352112,2.076056338028169,0.1875,0.41898148148148145,0.5601851851851852,0.6499999999999999
shuffled-label hidden,0.5183151926147292,0.43572205493086613,0.4956388038048743,0.42719382835101255,0.20311783585511234,0.7881597717546363,0.27532628962088257,0.2731496366965883,0.7503431710118209,0.1344024245152386,0.13194444444444445,0.27848101265822783,0.17905333047761832,0.18385650224215247,0.7129629629629629,0.28703703703703703,0.7215189873417721,0.3888888888888889,0.13194444444444445,0.19212962962962962,-0.8571428571428571,2.2467532467532467,0.13194444444444445,0.31712962962962965,0.47685185185185186,0.6399999999999999
