layer,split,c_value,l1_ratio,threshold,auroc,average_precision,balanced_accuracy,precision,recall,specificity,step_f1,brier_score,log_loss,expected_calibration_error,error_accuracy,correct_accuracy,process_f1,first_error_exact,error_detection_rate,error_miss_rate,correct_false_alarm_rate,early_detection_rate,on_time_detection_rate,late_detection_rate,mean_signed_localization_error,mean_absolute_localization_error,error_within_0_accuracy,error_within_1_accuracy,error_within_2_accuracy
3,test,0.01,,0.605,0.8338968173454964,0.797417921664648,0.7474102791518764,0.7548353371667538,0.6620816139385602,0.8327389443651926,0.7054225696140694,0.16721512927115798,0.5031135837195782,0.04768258494420184,0.23842592592592593,0.5358649789029536,0.3300157678965626,0.34379671150971597,0.8634259259259259,0.13657407407407407,0.4641350210970464,0.19907407407407407,0.23842592592592593,0.42592592592592593,0.6970509383378016,1.6514745308310992,0.23842592592592593,0.4976851851851852,0.6759259259259259
3,test_error_traces,0.01,,0.605,0.854259196651569,0.9103394644423506,0.7591685798175498,0.8991282689912827,0.6620816139385602,0.8562555456965395,0.7626089252706628,0.15669790023684027,0.47866369772630657,0.1105701228781848,0.23842592592592593,,0.0,0.23842592592592593,0.8634259259259259,0.13657407407407407,,0.19907407407407407,0.23842592592592593,0.42592592592592593,0.6970509383378016,1.6514745308310992,0.23842592592592593,0.4976851851851852,0.6759259259259259
4,validation,0.01,,0.6849999999999999,0.8230168941163,0.7805345712956654,0.7096992920911325,0.7860496311200537,0.5339407744874716,0.8854578096947935,0.6359196961475856,0.17195369816143727,0.5148019920882508,0.03343030771251608,0.21621621621621623,0.6094420600858369,0.3191907839280697,0.3515509601181684,0.7747747747747747,0.22522522522522523,0.3905579399141631,0.11486486486486487,0.21621621621621623,0.4436936936936937,1.186046511627907,1.7674418604651163,0.21621621621621623,0.44819819819819817,0.5765765765765766
4,test,0.01,,0.6849999999999999,0.8332483038248235,0.7924551257281274,0.7232634521588011,0.7822529893014475,0.5699220541036222,0.87660485021398,0.6594164456233421,0.16788805542296545,0.5060540482560011,0.048114660004260484,0.2037037037037037,0.6666666666666666,0.3120567375886525,0.36771300448430494,0.7754629629629629,0.22453703703703703,0.3333333333333333,0.1412037037037037,0.2037037037037037,0.4305555555555556,1.017910447761194,1.8597014925373134,0.2037037037037037,0.39814814814814814,0.5671296296296297
4,test_error_traces,0.01,,0.6849999999999999,0.8499979861569649,0.9058257453332107,0.7263984715948457,0.904,0.5699220541036222,0.8828748890860693,0.6991001124859392,0.15822042850551116,0.4821102781319224,0.10593711419302886,0.2037037037037037,,0.0,0.2037037037037037,0.7754629629629629,0.22453703703703703,,0.1412037037037037,0.2037037037037037,0.4305555555555556,1.017910447761194,1.8597014925373134,0.2037037037037037,0.39814814814814814,0.5671296296296297
5,validation,0.01,,0.625,0.8179300924657396,0.7698417763363246,0.7195421289612838,0.7492844876931883,0.5963553530751708,0.8427289048473968,0.6641298833079655,0.17432280030309666,0.5218622946164944,0.032769178872295246,0.24324324324324326,0.5450643776824035,0.3363743378457916,0.34711964549483015,0.831081081081081,0.16891891891891891,0.45493562231759654,0.14864864864864866,0.24324324324324326,0.4391891891891892,0.9376693766937669,1.6964769647696476,0.24324324324324326,0.481981981981982,0.6081081081081081
5,test,0.01,,0.625,0.8405544643435297,0.8043707207745218,0.7474870509869637,0.7668112798264642,0.6483264557542412,0.8466476462196861,0.702608695652174,0.16382777363502488,0.4957777507963114,0.04814169387920628,0.25,0.5780590717299579,0.3490445859872612,0.3662182361733931,0.8495370370370371,0.15046296296296297,0.4219409282700422,0.18055555555555555,0.25,0.41898148148148145,0.7384196185286104,1.67574931880109,0.25,0.4652777777777778,0.6481481481481481
5,test_error_traces,0.01,,0.625,0.8533678168354835,0.9085474566789878,0.7531783121717079,0.8983481575603558,0.6483264557542412,0.8580301685891748,0.7531291611185087,0.1557581578903416,0.47725353496541845,0.10440803038640468,0.25,,0.0,0.25,0.8495370370370371,0.15046296296296297,,0.18055555555555555,0.25,0.41898148148148145,0.7384196185286104,1.67574931880109,0.25,0.4652777777777778,0.6481481481481481
6,validation,0.01,,0.4699999999999999,0.8237836113576228,0.7770232744212872,0.7472638565697296,0.6878306878306878,0.7699316628701595,0.7245960502692999,0.7265692175408426,0.17219072336890737,0.5163481061849221,0.03692365042858166,0.30180180180180183,0.34334763948497854,0.3212370021875281,0.31610044313146235,0.9324324324324325,0.06756756756756757,0.6566523605150214,0.28153153153153154,0.30180180180180183,0.3490990990990991,0.043478260869565216,1.3526570048309179,0.30180180180180183,0.6238738738738738,0.7792792792792793
6,test,0.01,,0.4699999999999999,0.8393967548815114,0.7991812818248424,0.7610097679283083,0.6909378709932726,0.8005502063273727,0.7214693295292439,0.7417162276975361,0.16498645430021353,0.49904449610674817,0.05020738163019608,0.3287037037037037,0.33755274261603374,0.3330694578825461,0.33183856502242154,0.9398148148148148,0.06018518518518518,0.6624472573839663,0.28703703703703703,0.3287037037037037,0.32407407407407407,-0.034482758620689655,1.4039408866995073,0.3287037037037037,0.6087962962962963,0.7615740740740741
