statistic,scope,value,status,alpha,estimate,ci_low,ci_high,n_traces,random_mean,empirical_p,n_random_directions
paired_effect,source,olympiadbench,reported,-1.0,-0.0047603624092565884,-0.0086585223876141,-0.0007542072115717699,74,,,
paired_effect,source,olympiadbench,reported,0.0,0.0,0.0,0.0,74,,,
paired_effect,source,olympiadbench,reported,1.0,-0.0026934251591965905,-0.007156018832245376,0.0016027007554028465,74,,,
paired_effect,source,olympiadbench,reported,2.0,-0.002486396882985078,-0.006535018628110734,0.0015299995303959518,74,,,
paired_effect,source,olympiadbench,reported,4.0,-0.0006917541896974634,-0.00504366756492368,0.003978872379741155,74,,,
paired_effect,source,omnimath,reported,-4.0,0.0013939885350016763,-0.0029910794326237244,0.005611701716076227,77,,,
paired_effect,source,omnimath,reported,-2.0,0.0033371224031819827,-0.0008281706409020847,0.007423023995640973,77,,,
paired_effect,source,omnimath,reported,-1.0,0.00022814219648187244,-0.004047187127463225,0.004456413585644249,77,,,
paired_effect,source,omnimath,reported,0.0,0.0,0.0,0.0,77,,,
paired_effect,source,omnimath,reported,1.0,0.0004772954172902259,-0.003559846247171426,0.004617797051157258,77,,,
paired_effect,source,omnimath,reported,2.0,0.0005942165077506718,-0.003120207428545137,0.004363118915201772,77,,,
paired_effect,source,omnimath,reported,4.0,-0.0009071730174027455,-0.0051537698062209284,0.0034433719689969814,77,,,
dose_slope,overall,all,reported,,-0.00011969786802572771,,,256,,,
dose_rank_monotonicity,overall,all,reported,,-0.5,,,256,,,
signed_effect_consistency,overall,all,reported,,0.234375,,,256,,,
mean_symmetry_error,overall,all,reported,,0.0011801048725222538,,,256,,,
learned_vs_random_empirical_p,matched_extreme_alpha,all,reported,-4.0,0.0004860153421759501,,,32,-0.001609869487583639,1.0,20.0
learned_vs_random_empirical_p,matched_extreme_alpha,all,reported,4.0,0.0003205500543117497,,,32,-0.002941378112882374,0.047619047619047616,20.0
