direction_type,direction_index,alpha,mean_verdict_score,mean_delta,standard_error,n
learned,-1,-4.0,0.15767663531005383,0.00020666653290390586,0.00109243440495429,256
learned,-1,-2.0,0.1583918766118586,0.0009219078347086874,0.001054020842265182,256
learned,-1,-1.0,0.1558654218679294,-0.0016045469092205154,0.0010589832166069922,256
learned,-1,0.0,0.15746996877714992,0.0,0.0,256
learned,-1,1.0,0.15626855043228716,-0.0012014183448627582,0.0010962457119888364,256
learned,-1,2.0,0.15702271461486816,-0.00044725416228174957,0.0010333669844618401,256
learned,-1,4.0,0.15700360655318946,-0.00046636222396045587,0.0011141156272108346,256
random_orthogonal,0,-4.0,0.21402608882635832,-0.0017485665157437344,0.0033469925054417276,32
random_orthogonal,0,4.0,0.2125088842585683,-0.003265771083533762,0.0041885344542913925,32
random_orthogonal,1,-4.0,0.21179266273975372,-0.0039819926023483285,0.003632384993373528,32
random_orthogonal,1,4.0,0.21223684959113598,-0.0035378057509660686,0.003332196801530491,32
random_orthogonal,2,-4.0,0.21251695789396763,-0.003257697448134419,0.0029588083262530687,32
random_orthogonal,2,4.0,0.21269099600613117,-0.003083659335970878,0.0034033382349342397,32
random_orthogonal,3,-4.0,0.21300664637237787,-0.002768008969724175,0.003851148046180502,32
random_orthogonal,3,4.0,0.21469991467893124,-0.0010747406631708219,0.0034567722320057014,32
random_orthogonal,4,-4.0,0.21478532068431377,-0.000989334657788281,0.0037186785350618967,32
random_orthogonal,4,4.0,0.21368232183158398,-0.0020923335105180784,0.0035135076152318923,32
random_orthogonal,5,-4.0,0.21105194836854935,-0.004722706973552703,0.004360516872932286,32
random_orthogonal,5,4.0,0.21603780891746283,0.00026315357536077196,0.0031307833034408513,32
random_orthogonal,6,-4.0,0.21419785730540752,-0.001576798036694531,0.0036031848039596148,32
random_orthogonal,6,4.0,0.21216984558850527,-0.0036048097535967844,0.003274349795593403,32
random_orthogonal,7,-4.0,0.2162194075062871,0.00044475216418503436,0.003135777130468467,32
random_orthogonal,7,4.0,0.21483698207885027,-0.0009376732632517844,0.0032768752067234078,32
random_orthogonal,8,-4.0,0.2144393753260374,-0.001335280016064647,0.003790018976527505,32
random_orthogonal,8,4.0,0.21203149296343327,-0.003743162378668781,0.0033173103740649357,32
random_orthogonal,9,-4.0,0.21547937113791704,-0.0002952842041850127,0.0028335412736155184,32
random_orthogonal,9,4.0,0.21461416501551867,-0.0011604903265833876,0.0032457868331222267,32
random_orthogonal,10,-4.0,0.21537521574646235,-0.0003994395956397062,0.0033151985562472988,32
random_orthogonal,10,4.0,0.21147936955094337,-0.004295285791158672,0.0033552211071818726,32
random_orthogonal,11,-4.0,0.21492083556950092,-0.0008538197726011312,0.003570574108904703,32
random_orthogonal,11,4.0,0.21400826890021563,-0.001766386441886425,0.00341292728708677,32
random_orthogonal,12,-4.0,0.2152985744178295,-0.0004760809242725343,0.003020071538981165,32
random_orthogonal,12,4.0,0.212541239336133,-0.0032334160059690467,0.0037931961486901856,32
random_orthogonal,13,-4.0,0.21553609985858202,-0.00023855548352003444,0.003476238588255923,32
random_orthogonal,13,4.0,0.2120908573269844,-0.003683798015117641,0.0033491223024118815,32
random_orthogonal,14,-4.0,0.2150803580880165,-0.0006942972540855467,0.003467928244992228,32
random_orthogonal,14,4.0,0.20928895194083452,-0.006485703401267525,0.003272388734025,32
random_orthogonal,15,-4.0,0.21266455482691526,-0.003110100515186784,0.00337116251387877,32
random_orthogonal,15,4.0,0.21203629486262798,-0.0037383604794740655,0.003950392084371843,32
random_orthogonal,16,-4.0,0.21378971822559834,-0.0019849371165037125,0.002520051455034593,32
random_orthogonal,16,4.0,0.21586494334042072,9.028799831866914e-05,0.003090666622948964,32
random_orthogonal,17,-4.0,0.21478839498013258,-0.0009862603619694749,0.003865843404811266,32
random_orthogonal,17,4.0,0.21202723030000925,-0.0037474250420927967,0.0034651593863405878,32
random_orthogonal,18,-4.0,0.2124478342011571,-0.003326821140944956,0.003137400566072924,32
random_orthogonal,18,4.0,0.21308614034205675,-0.002688515000045303,0.0035033951429152724,32
random_orthogonal,19,-4.0,0.21587849501520395,0.00010383967310189398,0.0037439207516665077,32
random_orthogonal,19,4.0,0.20873298775404692,-0.007041667588055122,0.0035685579504148215,32
