metric,estimate,median,ci_low,ci_high,n_traces,exact_source_generator_matches,unique_placebo_traces,bootstrap_unit
real_jump,0.2569853281165904,0.2265225606925666,0.23385498250667344,0.28022399834133566,380,380,139,error_trace
placebo_jump,0.11289269417970696,0.08533341691636515,0.09299746403165399,0.13246823414070413,380,380,139,error_and_placebo_trace
paired_difference,0.14409263393688349,0.135426589737246,0.09631615215516744,0.1930877924482135,380,380,139,error_and_placebo_trace
onset_minus_prior,0.06579640446922626,0.044573538984329794,0.03339891130900569,0.09714497942621649,274,380,120,error_trace
