metric,observed,null_mean,null_ci_low,null_ci_high,p_value,direction,permutations
first_error_exact,0.28935185185185186,0.1642,0.13657407407407407,0.19212962962962962,0.0001999600079984003,higher,5000
error_within_1_accuracy,0.5925925925925926,0.43619953703703707,0.4050925925925926,0.4675925925925926,0.0001999600079984003,higher,5000
error_within_2_accuracy,0.7268518518518519,0.6228166666666667,0.5949074074074074,0.6504629629629629,0.0001999600079984003,higher,5000
process_f1,0.39289004497913615,0.25855899147875727,0.22330109758166605,0.2924275005770796,0.0001999600079984003,higher,5000
mean_absolute_localization_error,1.3968668407310705,2.074718537859008,1.9556135770234986,2.1906005221932117,0.0001999600079984003,lower,5000
mean_signed_localization_error,0.587467362924282,-1.467242819843342,-1.608355091383812,-1.318537859007833,0.0001999600079984003,two_sided,5000
