sample,first_error_exact,correct_rejection,process_f1,complete_trace_accuracy,error_detection_rate,mean_signed_localization_error,mean_absolute_localization_error,error_within_1_accuracy,error_within_2_accuracy
0,0.1527777777777778,0.6118143459915611,0.24450065149076416,0.3153961136023916,0.8865740740740741,-1.4177545691906006,2.0652741514360313,0.4375,0.6273148148148148
1,0.15046296296296297,0.6118143459915611,0.2415273239797553,0.31390134529147984,0.8865740740740741,-1.4464751958224542,2.0574412532637076,0.4351851851851852,0.6504629629629629
2,0.17592592592592593,0.6118143459915611,0.27327282646431583,0.3303437967115097,0.8865740740740741,-1.485639686684073,2.0704960835509136,0.4398148148148148,0.6203703703703703
3,0.1527777777777778,0.6118143459915611,0.24450065149076416,0.3153961136023916,0.8865740740740741,-1.4934725848563968,2.0678851174934727,0.44675925925925924,0.6435185185185185
4,0.18981481481481483,0.6118143459915611,0.2897385286448815,0.3393124065769806,0.8865740740740741,-1.321148825065274,1.9634464751958225,0.44675925925925924,0.6597222222222222
5,0.14583333333333334,0.6118143459915611,0.2355261631279731,0.3109118086696562,0.8865740740740741,-1.4778067885117494,2.088772845953003,0.41435185185185186,0.6458333333333334
6,0.14351851851851852,0.6118143459915611,0.23249799570693358,0.3094170403587444,0.8865740740740741,-1.4647519582245432,2.154046997389034,0.4027777777777778,0.6018518518518519
7,0.16666666666666666,0.6118143459915611,0.26196928635953026,0.3243647234678625,0.8865740740740741,-1.6031331592689295,2.0992167101827675,0.4305555555555556,0.6134259259259259
8,0.1875,0.6118143459915611,0.28703398218409765,0.33781763826606875,0.8865740740740741,-1.5718015665796345,2.0992167101827675,0.4375,0.625
9,0.1712962962962963,0.6118143459915611,0.26765446880690463,0.3273542600896861,0.8865740740740741,-1.4099216710182767,1.989556135770235,0.46296296296296297,0.6527777777777778
10,0.18055555555555555,0.6118143459915611,0.27882553065601656,0.3333333333333333,0.8865740740740741,-1.4960835509138382,2.033942558746736,0.4375,0.5972222222222222
11,0.14351851851851852,0.6118143459915611,0.23249799570693358,0.3094170403587444,0.8865740740740741,-1.422976501305483,2.2010443864229763,0.41898148148148145,0.6203703703703703
12,0.1412037037037037,0.6118143459915611,0.22945121081235326,0.30792227204783257,0.8865740740740741,-1.4569190600522193,2.088772845953003,0.42824074074074076,0.6134259259259259
13,0.1527777777777778,0.6118143459915611,0.24450065149076416,0.3153961136023916,0.8865740740740741,-1.5900783289817233,2.049608355091384,0.4537037037037037,0.6388888888888888
14,0.13657407407407407,0.6118143459915611,0.22330109758166605,0.30493273542600896,0.8865740740740741,-1.4778067885117494,2.16710182767624,0.41435185185185186,0.6226851851851852
15,0.1574074074074074,0.6118143459915611,0.2503936208034943,0.3183856502242152,0.8865740740740741,-1.4804177545691906,2.101827676240209,0.4398148148148148,0.6319444444444444
16,0.16435185185185186,0.6118143459915611,0.25910126215913526,0.32286995515695066,0.8865740740740741,-1.412532637075718,2.060052219321149,0.4398148148148148,0.625
17,0.17824074074074073,0.6118143459915611,0.27605731310808634,0.33183856502242154,0.8865740740740741,-1.3864229765013054,1.9086161879895562,0.4537037037037037,0.6504629629629629
18,0.1574074074074074,0.6118143459915611,0.2503936208034943,0.3183856502242152,0.8865740740740741,-1.3577023498694516,2.02088772845953,0.4444444444444444,0.6226851851851852
19,0.18055555555555555,0.6118143459915611,0.27882553065601656,0.3333333333333333,0.8865740740740741,-1.4464751958224542,2.052219321148825,0.43287037037037035,0.6157407407407407
20,0.1574074074074074,0.6118143459915611,0.2503936208034943,0.3183856502242152,0.8865740740740741,-1.4281984334203655,2.0182767624020888,0.4537037037037037,0.6412037037037037
21,0.1412037037037037,0.6118143459915611,0.22945121081235326,0.30792227204783257,0.8865740740740741,-1.4281984334203655,2.174934725848564,0.3888888888888889,0.6041666666666666
22,0.1597222222222222,0.6118143459915611,0.25331358474801563,0.31988041853512705,0.8865740740740741,-1.4647519582245432,2.0130548302872064,0.43287037037037035,0.6412037037037037
23,0.16666666666666666,0.6118143459915611,0.26196928635953026,0.3243647234678625,0.8865740740740741,-1.443864229765013,2.112271540469974,0.41898148148148145,0.6180555555555556
24,0.16435185185185186,0.6118143459915611,0.25910126215913526,0.32286995515695066,0.8865740740740741,-1.4046997389033942,2.08355091383812,0.42824074074074076,0.6134259259259259
25,0.18518518518518517,0.6118143459915611,0.284313725490196,0.336322869955157,0.8865740740740741,-1.4986945169712793,2.02088772845953,0.4375,0.6180555555555556
26,0.1736111111111111,0.6118143459915611,0.2704719268793136,0.32884902840059793,0.8865740740740741,-1.3994778067885119,2.06266318537859,0.4398148148148148,0.6111111111111112
27,0.1712962962962963,0.6118143459915611,0.26765446880690463,0.3273542600896861,0.8865740740740741,-1.4046997389033942,2.0783289817232378,0.44675925925925924,0.6018518518518519
28,0.16435185185185186,0.6118143459915611,0.25910126215913526,0.32286995515695066,0.8865740740740741,-1.2819843342036554,2.0652741514360313,0.4305555555555556,0.6273148148148148
29,0.14814814814814814,0.6118143459915611,0.23853588319967095,0.312406576980568,0.8865740740740741,-1.5848563968668408,2.1697127937336815,0.41898148148148145,0.6111111111111112
30,0.1712962962962963,0.6118143459915611,0.26765446880690463,0.3273542600896861,0.8865740740740741,-1.3420365535248042,2.0417754569190603,0.4444444444444444,0.6273148148148148
31,0.18055555555555555,0.6118143459915611,0.27882553065601656,0.3333333333333333,0.8865740740740741,-1.4804177545691906,2.060052219321149,0.42592592592592593,0.6111111111111112
32,0.14814814814814814,0.6118143459915611,0.23853588319967095,0.312406576980568,0.8865740740740741,-1.4934725848563968,2.06266318537859,0.45601851851851855,0.6180555555555556
33,0.18287037037037038,0.6118143459915611,0.28157762127748487,0.33482810164424515,0.8865740740740741,-1.558746736292428,1.9817232375979112,0.4699074074074074,0.6435185185185185
