relative_step,mean_score,median_score,ci_low,ci_high,n_traces
-3,0.2564347609003211,0.1615730472966913,0.21814186439344468,0.29643425359395426,176
-2,0.27720996404589054,0.18540396717376245,0.24661419059433595,0.30846169446520827,274
-1,0.3410526368859247,0.2619753286262715,0.31313235725062794,0.3691940575988749,380
0,0.5593738589007844,0.5806181746929477,0.5321482098930245,0.5873581237134783,432
1,0.6798951966627655,0.7471885796736719,0.6568227431631218,0.7041285699495223,408
2,0.730890779688303,0.8098901104733759,0.7051884770664903,0.7551646026545706,354
3,0.7595161443834716,0.8532288303071515,0.7326749623730119,0.7859089838270759,280
