alpha,estimate,ci_low,ci_high,standard_error,minimum_detectable_effect_80pct,minimum_detectable_standardized_effect_80pct,baseline_score_standard_deviation,n
-4.0,0.0002066665329039059,-0.0019344655562789476,0.002347798622086759,0.0010924344049542901,0.0030605480806779758,0.007411789795789119,0.41292969242284416,256
-2.0,0.0009219078347086872,-0.0011439350550856426,0.002987750724503017,0.001054020842265182,0.0029529292112731144,0.007151167052063878,0.41292969242284416,256
-1.0,-0.0016045469092205152,-0.003680115874002598,0.0004710220555615679,0.001058983216606992,0.0029668317258758725,0.0071848350465381575,0.41292969242284416,256
1.0,-0.0012014183448627582,-0.003350020458567347,0.0009471837688418304,0.0010962457119888366,0.003071225782127651,0.007437648196494151,0.41292969242284416,256
2.0,-0.0004472541622817501,-0.002472616234639717,0.001578107910076217,0.0010333669844618395,0.002895065668554263,0.007011037766665823,0.41292969242284416,256
4.0,-0.00046636222396045576,-0.002649988727906945,0.0017172642799860335,0.0011141156272108349,0.0031212898724625334,0.007558889393854248,0.41292969242284416,256
