metric,global_threshold,length_aware,difference
process_f1,0.39289004497913615,0.37682080992922834,-0.016069235049907815
correct_rejection,0.6118143459915611,0.540084388185654,-0.07172995780590719
error_exact,0.28935185185185186,0.28935185185185186,0.0
complete_accuracy,0.40358744394618834,0.3781763826606876,-0.025411061285500747
