contrast,metric,estimate,ci_low,ci_high
step_content_minus_marker,auroc,0.001709578618134481,-0.007423701681499482,0.01089664727621809
step_content_minus_marker,process_f1,0.0264727342021069,-0.01986714396664318,0.07471438302895525
