condition,layer,c_value,threshold,feature_count,training_weighting,auroc,average_precision,balanced_accuracy,precision,recall,specificity,step_f1,brier_score,log_loss,expected_calibration_error,error_exact,correct_rejection,process_f1,complete_accuracy,error_detection_rate,error_miss_rate,correct_false_alarm_rate,early_detection_rate,on_time_detection_rate,late_detection_rate,mean_signed_localization_error,mean_absolute_localization_error,error_within_0_accuracy,error_within_1_accuracy,error_within_2_accuracy
N,23,1.0,0.57,20020,trace_equal,0.8105215513830051,0.7634601209289701,0.7280245323213513,0.7096303501945526,0.6689591930307198,0.7870898716119828,0.6886948312485248,0.17844389837540234,0.5333461586137865,0.051093482684916376,0.16666666666666666,0.2869198312236287,0.21085271317829454,0.20926756352765322,0.9560185185185185,0.04398148148148148,0.7130801687763713,0.18055555555555555,0.16666666666666666,0.6087962962962963,1.2542372881355932,1.9467312348668282,0.16666666666666666,0.49074074074074076,0.7013888888888888
N+H,23,0.1,0.6749999999999999,21556,trace_equal,0.8692385149661747,0.8477555895815874,0.7776220811168431,0.8221343873517787,0.667583677212288,0.887660485021398,0.736842105263158,0.14842401892645463,0.453591696216654,0.04894088732212921,0.2824074074074074,0.6708860759493671,0.39749185467510906,0.4200298953662182,0.8703703703703703,0.12962962962962962,0.3291139240506329,0.1550925925925926,0.2824074074074074,0.43287037037037035,0.6968085106382979,1.4095744680851063,0.2824074074074074,0.5810185185185185,0.7129629629629629
O,23,1.0,0.695,20021,trace_equal,0.8740063811375771,0.8644930242415488,0.775534197887213,0.8618957940991839,0.6295277395690051,0.9215406562054208,0.7276099629040806,0.14284476492541942,0.4403249537810937,0.0449165929848276,0.16898148148148148,0.8945147679324894,0.2842632134821142,0.4260089686098655,0.875,0.125,0.10548523206751055,0.20833333333333334,0.16898148148148148,0.4976851851851852,1.0476190476190477,2.0,0.16898148148148148,0.4537037037037037,0.6226851851851852
O+H,23,0.1,0.6699999999999999,21557,trace_equal,0.9087845947460921,0.8933016905285317,0.8241609386211222,0.8646616541353384,0.7381934892251261,0.9101283880171184,0.7964382883997032,0.11971351862844044,0.3848065094135212,0.03842563044962535,0.29398148148148145,0.9071729957805907,0.4440595548833541,0.5112107623318386,0.9189814814814815,0.08101851851851852,0.09282700421940929,0.24305555555555555,0.29398148148148145,0.3819444444444444,0.3198992443324937,1.4534005037783375,0.29398148148148145,0.5833333333333334,0.7453703703703703
H,23,0.01,0.59,1536,trace_equal,0.8677110906604243,0.8455466239096842,0.7825880496912447,0.7804154302670623,0.7235213204951857,0.8416547788873039,0.7508922198429693,0.14987131626707828,0.4573644782713328,0.053879575432805034,0.3194444444444444,0.5232067510548524,0.3966896168022811,0.39162929745889385,0.8981481481481481,0.10185185185185185,0.4767932489451477,0.17824074074074073,0.3194444444444444,0.40046296296296297,0.47164948453608246,1.3737113402061856,0.3194444444444444,0.6273148148148148,0.7361111111111112
